onset	duration	trial_index	typeOfSaccade	cueShownAtLeft	intraEnd	isTutorial	isSaccadeExperiment
1572.678		491	prosaccade	True	2070.0	False	True
1575.67		492	prosaccade	False	2115.0	False	True
1578.848		493	prosaccade	True	2306.0	False	True
1581.762		494	prosaccade	True	2029.0	False	True
1584.714		495	prosaccade	False	2084.0	False	True
1587.731		496	prosaccade	True	2141.0	False	True
1590.786		497	prosaccade	False	2173.0	False	True
1593.846		498					
1596.861		499	antisaccade	False	2132.0	False	True
1600.155		500	antisaccade	True	2429.0	False	True
1603.189		501	antisaccade	False	2153.0	False	True
1606.206		502	antisaccade	False	2141.0	False	True
1609.358		503	antisaccade	False	2282.0	False	True
1612.615		504	antisaccade	True	2381.0	False	True
1616.086		505	antisaccade	True	2601.0	False	True
1619.211		506	antisaccade	False	2279.0	False	True
1622.518		507	antisaccade	False	2452.0	False	True
1625.818		508	antisaccade	False	2440.0	False	True
1629.187		509	antisaccade	False	2489.0	False	True
1632.108		510	antisaccade	True	2047.0	False	True
1635.565		511	antisaccade	False	2585.0	False	True
1638.867		512	antisaccade	False	2419.0	False	True
1641.794		513	antisaccade	False	2058.0	False	True
1645.123		514	antisaccade	True	2467.0	False	True
1648.359		515	antisaccade	False	2386.0	False	True
1651.638		516	antisaccade	True	2392.0	False	True
1654.579		517	antisaccade	True	2060.0	False	True
1657.536		518	antisaccade	False	2083.0	False	True
1661.654	4.075	519					
1661.69		520					
