,trials,presented_point,time_between_samples_mean,time_between_samples_std,sampling_rate_mean,sampling_rate_std,last_time_sample,horizontal_errors_pxs_mean,horizontal_errors_pxs_std,vertical_errors_pxs_mean,vertical_errors_pxs_std,total_errors_pxs_mean,total_errors_pxs_std
360,41.0,"(1379.0, 536.0)",49.22222222222222,9.646850698288105,21.271826152471917,5.0300849026389285,886,188.23076923076923,192.25550060997708,121.38461538461539,41.837668823016166,238.39152305704218,179.0170302489657
361,41.0,"(960.0, 131.0)",51.44444444444444,10.786937688304223,20.426524696096116,4.944720816931343,926,76.92307692307692,94.22841441327682,116.38461538461539,65.90265368946542,143.88283217644087,109.46425404020465
362,41.0,"(960.0, 941.0)",47.31578947368421,14.305143100073254,23.309746876840766,7.538945433746174,899,20.76923076923077,13.55418667170262,379.84615384615387,193.51797616911904,380.76566781253507,193.3000021486259
363,41.0,"(541.0, 941.0)",44.6,12.318279100588686,24.220754356927685,6.8155797176000155,892,92.76923076923077,99.50659340052555,124.3076923076923,49.88353299341703,167.75373531655944,91.14354516806576
364,41.0,"(960.0, 536.0)",48.578947368421055,11.165340117730329,21.972425482000222,6.3163198016056095,923,76.53846153846153,70.44650494645988,212.15384615384616,66.1092873189727,236.57776564443373,65.04997512855667
365,41.0,"(1379.0, 131.0)",45.25,13.77270852083932,23.982038844889647,6.416078417959923,905,184.53333333333333,114.18106478552191,71.8,78.70552712484682,202.0873452967816,132.6663918917148
366,41.0,"(541.0, 536.0)",44.6,13.87227450708787,24.6239070713374,7.391598282441624,892,131.57142857142858,206.25979259374895,269.85714285714283,74.8473276007874,323.44998354766955,183.4645769628436
367,41.0,"(541.0, 131.0)",46.94736842105263,14.013052878282059,23.428704789173494,7.482196999807106,892,118.15384615384616,105.85174403842542,327.15384615384613,171.72645786645967,360.2868124491523,178.54397563840635
368,41.0,"(1379.0, 941.0)",47.05263157894737,12.508833443907703,23.055687043342456,7.042955574261064,894,88.85714285714286,103.52215576722635,432.5,119.32832857289169,448.2186787993363,137.86930240922345
369,42.0,"(1379.0, 131.0)",46.89473684210526,15.36878153867051,27.33290615602711,23.793253461102505,891,296.53846153846155,96.73326958077548,176.76923076923077,101.52161864969666,352.06935662958006,122.03914428501263
370,42.0,"(541.0, 941.0)",44.1,14.655715608594484,25.029787749967294,7.36133878392568,882,224.69230769230768,154.5347282927715,203.15384615384616,233.12520444333245,382.89895225408605,152.88837071924308
371,42.0,"(1379.0, 536.0)",50.611111111111114,8.731417658146222,20.39521246689191,3.9275055199815188,911,95.61538461538461,71.13858464189508,194.30769230769232,58.9528946446419,232.02078972194184,40.00345252262008
372,42.0,"(541.0, 536.0)",42.523809523809526,9.902472262829106,24.846391409278443,5.822349312059255,893,45.53333333333333,35.623712452366455,266.0,24.503061033266842,271.88758740663394,27.85449959222617
373,42.0,"(960.0, 536.0)",38.78260869565217,9.389895224396371,26.989517361028273,5.060604965057117,892,73.25,74.62531406969086,292.9375,28.22779824481534,311.4519476764974,23.26739754498344
374,42.0,"(1379.0, 941.0)",47.68421052631579,11.943078293035402,22.51716768290961,6.400389691988095,906,95.21428571428571,105.78899387218783,360.64285714285717,115.00596701467099,378.2334099043438,143.13001752898288
