onset	duration	trial_index	trial-tag	center_x	center_y	start-x	start-y
511.65		297	validation-stimulus	960.0	536.0	418.0	405.0
512.602		298	validation-stimulus	960.0	536.0	-418.0	0.0
513.547		299	validation-stimulus	960.0	536.0	418.0	0.0
514.5		300	validation-stimulus	960.0	536.0	-418.0	-405.0
515.46		301	validation-stimulus	960.0	536.0	418.0	-405.0
516.395		302	validation-stimulus	960.0	536.0	0.0	-405.0
517.321		303	validation-stimulus	960.0	536.0	0.0	405.0
518.273		304	validation-stimulus	960.0	536.0	-418.0	405.0
520.303	2.011	305					
521.785	0.867	306		960.0	536.0		
523.113	0.762	307		960.0	536.0		
524.317	0.633	308		960.0	536.0		
525.552	0.648	309		960.0	536.0		
526.779	0.661	310		960.0	536.0		
527.999	0.632	311		960.0	536.0		
529.232	0.663	312		960.0	536.0		
530.44	0.62	313		960.0	536.0		
531.749	0.715	314		960.0	536.0		
533.04	0.703	315		960.0	536.0		
534.273	0.665	316		960.0	536.0		
535.634	0.795	317		960.0	536.0		
536.817	0.613	318		960.0	536.0		
538.182	0.794	319		960.0	536.0		
539.369	0.598	320		960.0	536.0		
540.64	0.683	321		960.0	536.0		
541.912	0.676	322		960.0	536.0		
543.186	0.696	323		960.0	536.0		
545.457	2.209	324					
547.496		325	fixation-stimulus	960.0	536.0	0.0	0.0
548.451		326	validation-stimulus	960.0	536.0	418.0	0.0
549.391		327	validation-stimulus	960.0	536.0	0.0	-405.0
550.347		328	validation-stimulus	960.0	536.0	0.0	0.0
551.299		329	validation-stimulus	960.0	536.0	0.0	405.0
552.256		330	validation-stimulus	960.0	536.0	-418.0	0.0
553.181		331	validation-stimulus	960.0	536.0	418.0	-405.0
554.118		332	validation-stimulus	960.0	536.0	-418.0	-405.0
555.072		333	validation-stimulus	960.0	536.0	418.0	405.0
556.003		334	validation-stimulus	960.0	536.0	-418.0	405.0
558.056		335	fixation-stimulus	960.0	536.0	0.0	0.0
559.012		336	validation-stimulus	960.0	536.0	0.0	0.0
559.938		337	validation-stimulus	960.0	536.0	418.0	0.0
560.867		338	validation-stimulus	960.0	536.0	-418.0	-405.0
561.835		339	validation-stimulus	960.0	536.0	0.0	405.0
562.8		340	validation-stimulus	960.0	536.0	418.0	405.0
563.731		341	validation-stimulus	960.0	536.0	-418.0	405.0
564.679		342	validation-stimulus	960.0	536.0	418.0	-405.0
565.633		343	validation-stimulus	960.0	536.0	-418.0	0.0
566.582		344	validation-stimulus	960.0	536.0	0.0	-405.0
568.623		345	fixation-stimulus	960.0	536.0	0.0	0.0
569.572		346	validation-stimulus	960.0	536.0	0.0	-405.0
570.517		347	validation-stimulus	960.0	536.0	0.0	405.0
571.472		348	validation-stimulus	960.0	536.0	-418.0	-405.0
572.414		349	validation-stimulus	960.0	536.0	0.0	0.0
573.34		350	validation-stimulus	960.0	536.0	418.0	0.0
574.289		351	validation-stimulus	960.0	536.0	418.0	405.0
575.241		352	validation-stimulus	960.0	536.0	-418.0	0.0
576.191		353	validation-stimulus	960.0	536.0	-418.0	405.0
577.136		354	validation-stimulus	960.0	536.0	418.0	-405.0
579.179		355	fixation-stimulus	960.0	536.0	0.0	0.0
580.111		356	validation-stimulus	960.0	536.0	-418.0	405.0
581.045		357	validation-stimulus	960.0	536.0	0.0	-405.0
582.005		358	validation-stimulus	960.0	536.0	418.0	405.0
582.954		359	validation-stimulus	960.0	536.0	0.0	405.0
583.895		360	validation-stimulus	960.0	536.0	418.0	-405.0
584.832		361	validation-stimulus	960.0	536.0	418.0	0.0
585.783		362	validation-stimulus	960.0	536.0	-418.0	0.0
586.713		363	validation-stimulus	960.0	536.0	0.0	0.0
587.646		364	validation-stimulus	960.0	536.0	-418.0	-405.0
589.689		365	fixation-stimulus	960.0	536.0	0.0	0.0
590.639		366	validation-stimulus	960.0	536.0	418.0	0.0
591.596		367	validation-stimulus	960.0	536.0	0.0	0.0
592.525		368	validation-stimulus	960.0	536.0	-418.0	-405.0
593.48		369	validation-stimulus	960.0	536.0	-418.0	0.0
594.413		370	validation-stimulus	960.0	536.0	0.0	-405.0
595.371		371	validation-stimulus	960.0	536.0	0.0	405.0
596.32		372	validation-stimulus	960.0	536.0	418.0	-405.0
597.261		373	validation-stimulus	960.0	536.0	418.0	405.0
598.217		374	validation-stimulus	960.0	536.0	-418.0	405.0
600.264		375	fixation-stimulus	960.0	536.0	0.0	0.0
601.211		376	validation-stimulus	960.0	536.0	-418.0	405.0
602.165		377	validation-stimulus	960.0	536.0	-418.0	0.0
603.132		378	validation-stimulus	960.0	536.0	0.0	0.0
604.098		379	validation-stimulus	960.0	536.0	418.0	405.0
605.053		380	validation-stimulus	960.0	536.0	418.0	-405.0
606.01		381	validation-stimulus	960.0	536.0	0.0	-405.0
606.936		382	validation-stimulus	960.0	536.0	0.0	405.0
607.866		383	validation-stimulus	960.0	536.0	-418.0	-405.0
608.818		384	validation-stimulus	960.0	536.0	418.0	0.0
610.864		385	fixation-stimulus	960.0	536.0	0.0	0.0
611.811		386	validation-stimulus	960.0	536.0	0.0	-405.0
612.776		387	validation-stimulus	960.0	536.0	-418.0	0.0
613.704		388	validation-stimulus	960.0	536.0	418.0	0.0
614.637		389	validation-stimulus	960.0	536.0	418.0	-405.0
615.591		390	validation-stimulus	960.0	536.0	0.0	0.0
616.543		391	validation-stimulus	960.0	536.0	-418.0	405.0
617.493		392	validation-stimulus	960.0	536.0	-418.0	-405.0
618.427		393	validation-stimulus	960.0	536.0	418.0	405.0
619.376		394	validation-stimulus	960.0	536.0	0.0	405.0
621.436		395	fixation-stimulus	960.0	536.0	0.0	0.0
622.373		396	validation-stimulus	960.0	536.0	0.0	405.0
623.336		397	validation-stimulus	960.0	536.0	-418.0	405.0
624.301		398	validation-stimulus	960.0	536.0	-418.0	0.0
625.25		399	validation-stimulus	960.0	536.0	418.0	-405.0
626.204		400	validation-stimulus	960.0	536.0	-418.0	-405.0
627.137		401	validation-stimulus	960.0	536.0	418.0	0.0
628.096		402	validation-stimulus	960.0	536.0	0.0	-405.0
629.052		403	validation-stimulus	960.0	536.0	418.0	405.0
630.004		404	validation-stimulus	960.0	536.0	0.0	0.0
633.141	3.114	405					
634.711	0.932	406		960.0	536.0		
636.118	0.833	407		960.0	536.0		
637.47	0.767	408		960.0	536.0		
638.758	0.706	409		960.0	536.0		
639.99	0.656	410		960.0	536.0		
641.142	0.557	411		960.0	536.0		
642.314	0.578	412		960.0	536.0		
643.503	0.599	413		960.0	536.0		
644.686	0.615	414		960.0	536.0		
646.016	0.746	415		960.0	536.0		
647.287	0.697	416		960.0	536.0		
648.617	0.76	417		960.0	536.0		
649.883	0.694	418		960.0	536.0		
651.256	0.8	419		960.0	536.0		
652.469	0.621	420		960.0	536.0		
653.674	0.63	421		960.0	536.0		
654.868	0.597	422		960.0	536.0		
656.062	0.605	423		960.0	536.0		
661.296	5.164	424					
663.351		425	fixation-stimulus	960.0	536.0	0.0	0.0
664.298		426	validation-stimulus	960.0	536.0	418.0	405.0
665.233		427	validation-stimulus	960.0	536.0	-418.0	0.0
666.164		428	validation-stimulus	960.0	536.0	0.0	-405.0
667.12		429	validation-stimulus	960.0	536.0	418.0	0.0
668.077		430	validation-stimulus	960.0	536.0	0.0	405.0
669.003		431	validation-stimulus	960.0	536.0	0.0	0.0
669.967		432	validation-stimulus	960.0	536.0	418.0	-405.0
670.898		433	validation-stimulus	960.0	536.0	-418.0	-405.0
671.843		434	validation-stimulus	960.0	536.0	-418.0	405.0
673.89		435	fixation-stimulus	960.0	536.0	0.0	0.0
674.852		436	validation-stimulus	960.0	536.0	-418.0	-405.0
675.799		437	validation-stimulus	960.0	536.0	-418.0	405.0
676.777		438	validation-stimulus	960.0	536.0	418.0	0.0
677.731		439	validation-stimulus	960.0	536.0	0.0	405.0
678.664		440	validation-stimulus	960.0	536.0	0.0	-405.0
679.614		441	validation-stimulus	960.0	536.0	418.0	405.0
680.572		442	validation-stimulus	960.0	536.0	418.0	-405.0
681.507		443	validation-stimulus	960.0	536.0	0.0	0.0
682.438		444	validation-stimulus	960.0	536.0	-418.0	0.0
684.504		445	fixation-stimulus	960.0	536.0	0.0	0.0
685.456		446	validation-stimulus	960.0	536.0	0.0	-405.0
686.407		447	validation-stimulus	960.0	536.0	418.0	405.0
687.337		448	validation-stimulus	960.0	536.0	-418.0	-405.0
688.294		449	validation-stimulus	960.0	536.0	0.0	405.0
689.249		450	validation-stimulus	960.0	536.0	-418.0	405.0
690.207		451	validation-stimulus	960.0	536.0	418.0	-405.0
691.141		452	validation-stimulus	960.0	536.0	-418.0	0.0
692.098		453	validation-stimulus	960.0	536.0	418.0	0.0
693.04		454	validation-stimulus	960.0	536.0	0.0	0.0
695.087		455	fixation-stimulus	960.0	536.0	0.0	0.0
696.022		456	validation-stimulus	960.0	536.0	0.0	405.0
696.98		457	validation-stimulus	960.0	536.0	0.0	0.0
697.914		458	validation-stimulus	960.0	536.0	-418.0	0.0
698.868		459	validation-stimulus	960.0	536.0	-418.0	-405.0
699.834		460	validation-stimulus	960.0	536.0	-418.0	405.0
700.795		461	validation-stimulus	960.0	536.0	418.0	0.0
701.73		462	validation-stimulus	960.0	536.0	418.0	-405.0
702.69		463	validation-stimulus	960.0	536.0	418.0	405.0
703.643		464	validation-stimulus	960.0	536.0	0.0	-405.0
705.707		465	fixation-stimulus	960.0	536.0	0.0	0.0
706.664		466	validation-stimulus	960.0	536.0	0.0	-405.0
707.634		467	validation-stimulus	960.0	536.0	418.0	405.0
708.585		468	validation-stimulus	960.0	536.0	-418.0	405.0
709.539		469	validation-stimulus	960.0	536.0	418.0	-405.0
710.5		470	validation-stimulus	960.0	536.0	0.0	405.0
711.452		471	validation-stimulus	960.0	536.0	0.0	0.0
712.408		472	validation-stimulus	960.0	536.0	418.0	0.0
713.368		473	validation-stimulus	960.0	536.0	-418.0	-405.0
714.332		474	validation-stimulus	960.0	536.0	-418.0	0.0
716.383		475	fixation-stimulus	960.0	536.0	0.0	0.0
717.346		476	validation-stimulus	960.0	536.0	-418.0	0.0
718.305		477	validation-stimulus	960.0	536.0	0.0	405.0
719.269		478	validation-stimulus	960.0	536.0	418.0	405.0
720.236		479	validation-stimulus	960.0	536.0	-418.0	405.0
721.194		480	validation-stimulus	960.0	536.0	418.0	-405.0
722.146		481	validation-stimulus	960.0	536.0	-418.0	-405.0
723.105		482	validation-stimulus	960.0	536.0	418.0	0.0
724.062		483	validation-stimulus	960.0	536.0	0.0	0.0
725.02		484	validation-stimulus	960.0	536.0	0.0	-405.0
727.087		485	fixation-stimulus	960.0	536.0	0.0	0.0
728.043		486	validation-stimulus	960.0	536.0	-418.0	0.0
728.993		487	validation-stimulus	960.0	536.0	-418.0	-405.0
729.951		488	validation-stimulus	960.0	536.0	418.0	-405.0
730.891		489	validation-stimulus	960.0	536.0	0.0	-405.0
731.844		490	validation-stimulus	960.0	536.0	418.0	0.0
732.8		491	validation-stimulus	960.0	536.0	0.0	0.0
733.734		492	validation-stimulus	960.0	536.0	-418.0	405.0
734.688		493	validation-stimulus	960.0	536.0	418.0	405.0
735.628		494	validation-stimulus	960.0	536.0	0.0	405.0
737.685		495	fixation-stimulus	960.0	536.0	0.0	0.0
738.644		496	validation-stimulus	960.0	536.0	0.0	0.0
739.601		497	validation-stimulus	960.0	536.0	418.0	405.0
740.537		498	validation-stimulus	960.0	536.0	0.0	405.0
741.505		499	validation-stimulus	960.0	536.0	-418.0	405.0
742.466		500	validation-stimulus	960.0	536.0	-418.0	-405.0
743.42		501	validation-stimulus	960.0	536.0	0.0	-405.0
744.378		502	validation-stimulus	960.0	536.0	418.0	-405.0
745.341		503	validation-stimulus	960.0	536.0	418.0	0.0
